Parameter,Initial value,Model estimate,Standard Error
k_e_P,0.949,0.303,0.070
k_p1,0.406,3.686,0.181
k_p2,0.564,40.087,29.567
k_ent,0.710,0.875,0.053
k_stor,0.380,0.031,0.014
k_sliv,0.091,0.120,0.022
D,10000.000,10000.000,0.000
F,1.000,1.000,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
D5FA16_GF_Liver,6.0,505.787,505.787,753.507,,,
D5FA16_GF_Content_duodenum,0.0,0.000,0.000,0.000,44847.202,135.067,0.777
D5FA16_GF_Content_duodenum,1.0,212.789,212.789,616.153,,,
D5FA16_GF_Content_duodenum,2.0,150.831,150.831,21.904,,,
D5FA16_GF_Content_duodenum,6.0,7.976,7.976,-0.000,,,
D5FA16_GF_Content_jejunum,0.0,0.000,0.000,0.000,574854.943,540.343,0.892
D5FA16_GF_Content_jejunum,1.0,2094.436,2094.436,972.146,,,
D5FA16_GF_Content_jejunum,2.0,1077.791,1077.791,58.230,,,
D5FA16_GF_Content_jejunum,6.0,19.519,19.519,-0.000,,,
D5FA16_GF_Content_ileum,0.0,0.000,0.000,0.000,9494.999,73.942,-0.403
D5FA16_GF_Content_ileum,1.0,12.206,12.206,92.380,,,
D5FA16_GF_Content_ileum,2.0,49.008,49.008,5.678,,,
D5FA16_GF_Content_ileum,6.0,172.264,172.264,-0.000,,,
D5FA16_GF_iWAT,0.0,0.000,0.000,0.000,5349.727,43.522,0.986
D5FA16_GF_iWAT,1.0,1.088,1.088,10.401,,,
D5FA16_GF_iWAT,2.0,32.971,32.971,53.161,,,
D5FA16_GF_iWAT,6.0,338.272,338.272,193.688,,,
D5FA16_GF_eWAT,0.0,0.000,0.000,0.000,8465.966,64.849,0.987
D5FA16_GF_eWAT,1.0,0.735,0.735,10.401,,,
D5FA16_GF_eWAT,2.0,142.059,142.059,53.161,,,
D5FA16_GF_eWAT,6.0,354.522,354.522,193.688,,,
D5FA16_GF_Content_colon,0.0,0.000,0.000,0.000,3467.008,41.326,-0.372
D5FA16_GF_Content_colon,1.0,0.000,0.000,102.784,,,
D5FA16_GF_Content_colon,2.0,1.398,1.398,6.686,,,
D5FA16_GF_Content_colon,6.0,57.232,57.232,-0.000,,,
D5FA16_GF_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_GF_Content_cecum,1.0,0.000,,97.522,,,
D5FA16_GF_Content_cecum,2.0,0.000,,6.163,,,
D5FA16_GF_Content_cecum,6.0,0.000,,-0.000,,,
D31FA16_GF_si,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_GF_si,1.0,0.000,,250.400,,,
D31FA16_GF_si,2.0,0.000,,6.307,,,
D31FA16_GF_si,6.0,0.000,,-0.000,,,
D31FA16_GF_Duodenum,0.0,0.000,0.000,0.000,83194.934,205.923,0.994
D31FA16_GF_Duodenum,1.0,567.799,567.799,1073.228,,,
D31FA16_GF_Duodenum,2.0,259.176,259.176,533.798,,,
D31FA16_GF_Duodenum,6.0,59.979,59.979,16.339,,,
D31FA16_GF_Jejunum,0.0,0.000,0.000,0.000,903555.802,698.788,0.990
D31FA16_GF_Jejunum,1.0,2533.035,2533.035,842.507,,,
D31FA16_GF_Jejunum,2.0,1342.697,1342.697,519.978,,,
D31FA16_GF_Jejunum,6.0,298.243,298.243,16.339,,,
D31FA16_GF_Ileum,0.0,0.000,0.000,0.000,2365.267,40.284,0.033
D31FA16_GF_Ileum,1.0,23.618,23.618,75.455,,,
D31FA16_GF_Ileum,2.0,82.329,82.329,47.690,,,
D31FA16_GF_Ileum,6.0,76.162,76.162,1.502,,,
D31FA16_GF_Plasma,0.0,0.000,0.000,0.000,721372.247,627.960,0.903
D31FA16_GF_Plasma,1.0,2429.118,2429.118,934.875,,,
D31FA16_GF_Plasma,2.0,2415.471,2415.471,1646.888,,,
D31FA16_GF_Plasma,6.0,772.897,772.897,523.884,,,
D31FA16_GF_Liver,0.0,0.000,0.000,0.000,69969.557,171.541,0.811
D31FA16_GF_Liver,1.0,173.801,173.801,40.461,,,
D31FA16_GF_Liver,2.0,716.988,716.988,206.812,,,
D31FA16_GF_Liver,6.0,796.154,796.154,753.507,,,
D31FA16_GF_Content_duodenum,0.0,0.000,0.000,0.000,45555.717,138.515,0.752
D31FA16_GF_Content_duodenum,1.0,212.352,212.352,616.153,,,
D31FA16_GF_Content_duodenum,2.0,159.795,159.795,21.904,,,
D31FA16_GF_Content_duodenum,6.0,12.368,12.368,-0.000,,,
D31FA16_GF_Content_jejunum,0.0,0.000,0.000,0.000,280583.673,394.771,0.801
D31FA16_GF_Content_jejunum,1.0,1426.772,1426.772,972.146,,,
D31FA16_GF_Content_jejunum,2.0,996.921,996.921,58.230,,,
D31FA16_GF_Content_jejunum,6.0,185.766,185.766,-0.000,,,
D31FA16_GF_Content_ileum,0.0,0.000,0.000,0.000,11697.990,73.881,-0.134
D31FA16_GF_Content_ileum,1.0,72.331,72.331,92.380,,,
D31FA16_GF_Content_ileum,2.0,78.431,78.431,5.678,,,
D31FA16_GF_Content_ileum,6.0,202.724,202.724,-0.000,,,
D31FA16_GF_iWAT,0.0,0.000,0.000,0.000,35716.818,112.664,0.998
D31FA16_GF_iWAT,1.0,0.000,0.000,10.401,,,
D31FA16_GF_iWAT,2.0,121.882,121.882,53.161,,,
D31FA16_GF_iWAT,6.0,565.221,565.221,193.688,,,
D31FA16_GF_eWAT,0.0,0.000,0.000,0.000,179279.193,280.403,0.548
D31FA16_GF_eWAT,1.0,7.059,7.059,10.401,,,
D31FA16_GF_eWAT,2.0,826.588,826.588,53.161,,,
D31FA16_GF_eWAT,6.0,538.529,538.529,193.688,,,
D31FA16_GF_Content_colon,0.0,0.000,0.000,0.000,3051.486,36.805,-0.387
D31FA16_GF_Content_colon,1.0,0.000,0.000,102.784,,,
D31FA16_GF_Content_colon,2.0,2.551,2.551,6.686,,,
D31FA16_GF_Content_colon,6.0,40.302,40.302,-0.000,,,
D31FA16_GF_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_GF_Content_cecum,1.0,0.000,,97.522,,,
D31FA16_GF_Content_cecum,2.0,0.000,,6.163,,,
D31FA16_GF_Content_cecum,6.0,0.000,,-0.000,,,
